referrer_source,referrer_name,location_city,ua_form_factor,location_region,referrer_host,day,total_visitors,total_sessions,total_checkouts,total_carts,total_orders_placed
Social,Facebook,Mesa,Mobile,Arizona,m.facebook.com,2023-09-11,1,1,0,0,0
Social,Instagram,Livonia,Mobile,Michigan,l.instagram.com,2023-08-15,1,1,0,0,0
Social,Facebook,Lewes,Mobile,England,m.facebook.com,2023-08-02,1,1,0,0,0
Social,Instagram,Maumee,Mobile,Ohio,instagram.com,2023-09-28,1,1,1,1,0
Social,Facebook,Carriere,Mobile,Mississippi,l.facebook.com,2023-09-27,1,1,1,1,0
Social,Instagram,Boulder,Mobile,Colorado,www.instagram.com,2023-08-21,1,1,0,0,0
Social,Facebook,Auburn,Mobile,Alabama,m.facebook.com,2023-08-20,1,1,1,1,1
Social,Instagram,Long Beach,Mobile,California,l.instagram.com,2023-09-20,1,1,0,0,0
Social,Facebook,Vidor,Mobile,Texas,m.facebook.com,2023-09-06,1,1,0,0,0
Social,Instagram,Stoney Creek,Tablet,Ontario,l.instagram.com,2023-07-12,1,1,0,0,0
Social,Facebook,Whitman,Mobile,Massachusetts,m.facebook.com,2023-08-15,1,1,0,0,0
Social,Instagram,Hackensack,Mobile,New Jersey,l.instagram.com,2023-09-06,1,1,0,0,0
Social,Facebook,Dallas,Mobile,Texas,l.facebook.com,2023-07-03,1,1,0,0,0
Social,Instagram,Madison,Mobile,Mississippi,www.instagram.com,2023-09-08,1,1,0,0,0
Social,Facebook,Boones Mill,Mobile,Virginia,m.facebook.com,2023-09-10,1,1,0,0,0
Social,Instagram,Franeker,Mobile,Friesland,l.instagram.com,2023-09-18,1,1,0,0,0
Social,Facebook,Colorado Springs,Mobile,Colorado,l.facebook.com,2023-07-19,1,1,0,0,0
Social,Instagram,Bentonville,Mobile,Arkansas,l.instagram.com,2023-08-19,1,1,0,0,0
Social,Facebook,Anderson,Mobile,South Carolina,m.facebook.com,2023-09-04,1,1,0,0,0
Social,Instagram,Delhi,Mobile,Ontario,l.instagram.com,2023-09-19,1,1,0,0,0
Social,Facebook,Spring,Mobile,Texas,lm.facebook.com,2023-07-06,1,1,1,1,0
Social,Instagram,Peterborough,Mobile,Ontario,l.instagram.com,2023-07-27,1,1,1,1,0
Social,Facebook,Anderson,Mobile,South Carolina,m.facebook.com,2023-08-26,1,1,0,0,0
Social,Instagram,Highland Park,Mobile,Illinois,l.instagram.com,2023-08-26,1,1,0,0,0
Social,Facebook,Augusta,Mobile,Wisconsin,lm.facebook.com,2023-07-18,1,1,0,0,0
Social,Instagram,North Las Vegas,Mobile,Nevada,l.instagram.com,2023-09-07,1,1,0,1,0
Social,Facebook,Minneapolis,Mobile,Minnesota,m.facebook.com,2023-08-27,1,1,0,0,0
